n,seconds
1,0.0000140750
2,0.0000022250
3,0.0000036420
4,0.0000066300
5,0.0000118600
6,0.0000311990
7,0.0000487650
8,0.0001025390
9,0.0002167120
10,0.0004727860
11,0.0010203830
12,0.0021920600
13,0.0046779200
14,0.0100530290
15,0.0212896080
16,0.0452648570
17,0.0994586900
18,0.2067872500
19,0.4271704710
20,0.9097736900
21,1.9156656460
22,3.9951230020
